2025-12-06 17:23:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-12-06 17:23:33 [main] INFO  org.ruoyi.RuoYiAIApplication - Starting RuoYiAIApplication using Java 17.0.12 with PID 1640 (E:\WorkSpace\IdeaProjects\YearArk\ruoyi-ai\ruoyi-admin\target\classes started by 17305 in E:\WorkSpace\IdeaProjects\YearArk)
2025-12-06 17:23:33 [main] INFO  org.ruoyi.RuoYiAIApplication - The following 1 profile is active: "dev"
2025-12-06 17:23:40 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-06 17:23:40 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-06 17:23:40 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-06 17:23:42 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@643f8ebe
2025-12-06 17:23:42 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-06 17:23:42 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-06 17:23:42 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-06 17:23:44 [main] INFO  o.ruoyi.workflow.config.BeanConfig - Configuration:create objectMapper
2025-12-06 17:23:44 [main] INFO  o.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-06 17:23:44 [main] INFO  org.redisson.Version - Redisson 3.20.1
2025-12-06 17:23:45 [redisson-netty-2-6] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 117.78.1.49/117.78.1.49:6379
2025-12-06 17:23:45 [redisson-netty-2-3] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 117.78.1.49/117.78.1.49:6379
2025-12-06 17:23:46 [main] INFO  o.r.c.core.config.ThreadPoolConfig - ====创建定时任务线程池====
2025-12-06 17:23:46 [main] INFO  o.r.s.s.VectorStoreStrategyFactory - 向量库策略工厂初始化完成，支持的策略: [weaviate, milvus]
2025-12-06 17:23:47 [main] INFO  o.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-06 17:23:48 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=deepseek, service=DeepSeekGraphLLMServiceImpl
2025-12-06 17:23:48 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=dify, service=DifyGraphLLMServiceImpl
2025-12-06 17:23:48 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=openai, service=OpenAIGraphLLMServiceImpl
2025-12-06 17:23:48 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=qwen, service=QwenGraphLLMServiceImpl
2025-12-06 17:23:48 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=zhipu, service=ZhipuGraphLLMServiceImpl
2025-12-06 17:23:48 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 图谱LLM服务工厂初始化完成，共注册 5 个服务
2025-12-06 17:23:49 [main] INFO  o.ruoyi.workflow.config.BeanConfig - Configuration:create restTemplate
2025-12-06 17:23:49 [main] INFO  o.ruoyi.workflow.config.BeanConfig - mainExecutor,processorsNum:16
2025-12-06 17:23:49 [main] INFO  o.ruoyi.workflow.config.BeanConfig - imagesExecutor corePoolSize:16,maxPoolSize:32
2025-12-06 17:23:52 [main] INFO  o.n.driver.internal.DriverFactory - Direct driver instance 361309251 created for server address localhost:7687
2025-12-06 17:23:52 [main] INFO  io.undertow - starting server: Undertow - 2.3.18.Final
2025-12-06 17:23:52 [main] INFO  org.xnio - XNIO version 3.8.16.Final
2025-12-06 17:23:52 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.16.Final
2025-12-06 17:23:52 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-12-06 17:23:52 [main] INFO  org.ruoyi.RuoYiAIApplication - Started RuoYiAIApplication in 21.889 seconds (process running for 24.052)
2025-12-06 17:23:52 [main] INFO  o.r.c.c.l.WebSocketTopicListener - 初始化WebSocket主题订阅监听器成功
2025-12-06 17:23:53 [main] INFO  o.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-12-06 17:23:53 [main] INFO  o.ruoyi.mcp.config.McpProcessManager - 启动MCP服务器进程: howtocook-mcp
2025-12-06 17:23:53 [main] INFO  o.ruoyi.mcp.config.McpProcessManager - 成功启动MCP服务器: howtocook-mcp 命令: [cmd.exe, /c, npx, -y, howtocook-mcp]
2025-12-06 17:23:53 [RMI TCP Connection(2)-192.168.132.109] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-06 17:24:18 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-12-06 17:24:19 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
2025-12-06 17:24:21 [XNIO-1 task-2] INFO  o.r.c.w.i.PlusWebInvokeTimeInterceptor - 域名信息：127.0.0.1
