1765013026753|59|statement|connection 0|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'suno')
1765013026829|37|statement|connection 1|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'luma')
1765013026884|31|statement|connection 2|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'chat' AND config_name LIKE '%apiHost%')
1765013026916|26|statement|connection 3|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'chat' AND config_name LIKE '%apiKey%')
1765013028271|25|statement|connection 4|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'midjourney')
1765013029531|32|statement|connection 5|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT server_name FROM mcp_info WHERE status = 1|SELECT server_name FROM mcp_info WHERE status = 1
1765013030578|31|statement|connection 6|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%host%')
1765013030618|37|statement|connection 7|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%port%')
1765013030657|33|statement|connection 8|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%from%')
1765013030690|30|statement|connection 9|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%user%')
1765013030722|26|statement|connection 10|url jdbc:mysql://117.78.1.49:3306/YearArk?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%pass%')
